ORIG_FID,Width,Length,Orient,Area,Elong,Bed,Topo,Y/N,rf_bedform_pred,xgb_bedform_pred,ens_bedform_pred
15500,97.16066808,482.8016734,23.09809488,41580.99209,4.969106151,0,1,1,1,1,1
15501,58.67936459,258.5995121,8.339278902,12915.51019,4.406992371,0,1,0,0,0,0
15545,106.8984953,167.5537789,85.38999493,10945.56294,1.567410079,0,1,0,0,0,0
15651,101.3393637,171.3721681,174.0069559,11478.29625,1.691072076,0,1,0,0,0,0
15739,170.8138307,1482.469004,13.99902316,214152.7352,8.678858134,0,1,1,1,1,1
15752,57.26345036,224.764955,12.00691944,10322.77044,3.925103248,0,1,0,0,0,0
15778,105.8498957,510.4513003,7.883560268,35786.40584,4.82240721,0,1,0,1,1,1
15895,125.6922679,1012.312111,7.569667557,99366.33684,8.053893273,0,1,1,1,1,1
15993,54.27730359,202.7430115,10.18083217,9113.085628,3.735318413,0,1,0,0,0,0
16024,24.72904364,506.2220741,52.32320403,10802.50117,20.47075016,0,1,0,0,1,0
16077,288.123752,2727.962038,5.25861688,572081.6601,9.468022052,0,1,0,1,1,1
16120,133.0384152,348.189126,169.9695671,36385.59376,2.617207409,0,1,0,0,0,0
16153,64.72604682,326.0360336,152.9787486,11280.5974,5.037168954,0,1,0,0,0,0
16156,100.7961627,499.011533,4.475071475,40185.17888,4.950699704,0,1,1,1,1,1
16178,108.2845057,1604.780826,8.144786431,143950.4338,14.82004111,0,1,1,1,1,1
16298,77.7826893,386.0586265,7.329269347,22769.21746,4.963297488,0,1,1,0,1,0
16376,117.4859546,766.9501157,35.67591588,67601.83039,6.528015355,0,1,1,1,1,1
16429,69.33466384,523.3176059,13.87811108,27221.48852,7.547705244,0,1,1,1,1,1
16433,323.8621301,762.612286,33.19997157,140442.5074,2.354743624,0,1,0,1,0,0
16505,107.3321755,364.8831401,162.899571,23016.52331,3.399569032,0,1,0,1,0,0
16531,160.8785413,722.3687553,36.86298843,85245.71546,4.490149831,0,1,0,1,1,1
16571,194.8100655,652.5332906,16.58002289,84716.69556,3.349587142,0,1,0,1,1,1
16573,78.75764999,352.1901513,35.64497011,22572.5331,4.471821485,0,1,0,0,0,0
16607,83.63429494,541.1907609,175.8239566,39781.33904,6.470919152,0,1,1,1,1,1
